fournisseur;description;montant;date
Station Total Matoury;Plein carburant vehicule pro;68,40;05/01/2026
EDF Guyane;Facture electricite local;134,25;08/01/2026
Digicel;Forfait mobile pro;39,99;10/01/2026
Bureau Vallee Cayenne;Ramette papier + cartouches;87,50;14/01/2026
Loyer local Remire-Montjoly;Loyer janvier;850,00;03/01/2026
OVH;Hebergement site + domaine;11,99;15/01/2026
Restaurant Le Cric;Repas client;46,80;21/01/2026
AXA Assurance;Assurance RC pro;62,30;28/01/2026
Station Rubis Cayenne;Carburant deplacement chantier;54,20;02/02/2026
Orange Caraibe;Internet fibre local;49,99;05/02/2026
Loyer local Remire-Montjoly;Loyer fevrier;850,00;03/02/2026
Bricomarche Matoury;Materiel visserie chantier;123,75;09/02/2026
EDF Guyane;Facture electricite local;128,60;08/02/2026
Air Caraibes;Billet Cayenne-Fort de France salon pro;289,00;12/02/2026
Hotel Bakoua Martinique;Nuitee salon professionnel;145,00;13/02/2026
Canva;Abonnement design pro;11,99;15/02/2026
Station Total Matoury;Plein carburant;71,10;18/02/2026
BRED Guyane;Cotisation carte affaires;9,50;28/02/2026
Loyer local Remire-Montjoly;Loyer mars;850,00;03/03/2026
Digicel;Forfait mobile pro;39,99;10/03/2026
Imprimerie Cayenne Print;Flyers et cartes de visite;215,00;12/03/2026
EDF Guyane;Facture electricite local;131,45;08/03/2026
Restaurant Ti Kaz;Repas equipe fin de chantier;92,40;20/03/2026
Station Rubis Kourou;Carburant deplacement Kourou;58,90;24/03/2026
Microsoft;Abonnement Office 365;10,50;25/03/2026
Freelance Sissi Design;Prestation logo client;180,00;27/03/2026
Loyer local Remire-Montjoly;Loyer avril;850,00;03/04/2026
Bureau Vallee Cayenne;Fournitures bureau;43,20;07/04/2026
EDF Guyane;Facture electricite local;126,80;08/04/2026
Orange Caraibe;Internet fibre local;49,99;05/04/2026
Station Total Matoury;Plein carburant;66,75;11/04/2026
AXA Assurance;Assurance RC pro;62,30;28/04/2026
Peage transport materiel;Livraison materiel Saint-Laurent;35,00;16/04/2026
Loyer local Remire-Montjoly;Loyer mai;850,00;03/05/2026
EDF Guyane;Facture electricite local;139,90;08/05/2026
Digicel;Forfait mobile pro;39,99;10/05/2026
Bricomarche Matoury;Outillage electroportatif;249,00;14/05/2026
Restaurant Le Cric;Repas prospect;38,60;22/05/2026
Loyer local Remire-Montjoly;Loyer juin;850,00;03/06/2026
Station Rubis Cayenne;Carburant;61,30;06/06/2026
EDF Guyane;Facture electricite local;133,15;08/06/2026
OVH;Hebergement site + domaine;11,99;15/06/2026
